0.63579125000000E+02  0.16383963957537E+03  0.85880505231034E+00
0.31789562500000E+02  0.41001955054162E+02  0.56060213770252E-01
0.15894781250000E+02  0.10253148156640E+02  0.35458574566292E-02
0.79473906250000E+01  0.25634537622682E+01  0.22229748719838E-03
0.39736953125000E+01  0.64087386880419E+00  0.13904369552620E-04
0.19868476562500E+01  0.16021911913413E+00  0.86922955233604E-06
0.99342382812500E+00  0.40054820594378E-01  0.54351403377950E-07
0.49671191406250E+00  0.10013707564212E-01  0.34633558243513E-08
0.24835595703125E+00  0.25034272111952E-02  0.24738255888224E-09
0.12417797851562E+00  0.62585652631242E-03  0.10186340659857E-09
0.62088989257812E-01  0.15646434621885E-03  0.72759576141834E-10
0.31044494628906E-01  0.39115562685765E-04  0.11641532182693E-09
0.15522247314453E-01  0.97795273177326E-05  0.49476511776447E-09
0.77611236572266E-02  0.24446053430438E-05  0.58207660913467E-09
0.38805618286133E-02  0.61052560340613E-06  0.72759576141834E-10
0.19402809143066E-02  0.15477417036891E-06  0.17462298274040E-09
0.97014045715332E-03  0.41298335418105E-07  0.96042640507221E-09
0.48507022857666E-03  0.93277776613832E-08  0.20227162167430E-08
0.24253511428833E-03  0.27794158086181E-08  0.18917489796877E-09
