0.78950000E+01  0.16350074E+01  0.64434201E+00
0.39475000E+01  0.57916505E+00  0.22721761E+00
0.19737500E+01  0.20496147E+00  0.80226955E-01
0.98687500E+00  0.72499483E-01  0.28345493E-01
0.49343750E+00  0.25638564E-01  0.10018266E-01
0.24671875E+00  0.90656783E-02  0.35413905E-02
0.12335937E+00  0.32053852E-02  0.12519617E-02
0.61679687E-01  0.11333008E-02  0.44261348E-03
0.30839844E-01  0.40068044E-03  0.15648110E-03
0.15419922E-01  0.14165508E-03  0.55320749E-04
0.77099609E-02  0.50074910E-04  0.19555647E-04
0.38549805E-02  0.17696276E-04  0.69108589E-05
0.19274902E-02  0.62486737E-05  0.24402657E-05
0.96374512E-03  0.22013296E-05  0.85967494E-06
0.48187256E-03  0.77037652E-06  0.30085128E-06
0.24093628E-03  0.26445950E-06  0.10327672E-06
0.12046814E-03  0.85586095E-07  0.33427327E-07
0.60234070E-04  0.22356176E-07  0.87247543E-08
0.30117035E-04  0.00000000E+00  0.00000000E+00
